probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s35_84V6	934	870	969	659	1021	1179	1,03
Pp1s35_88V6	39	40	46	99	97	59	2,04
Pp1s35_89V6	164	49	90	80	73	82	-1,29
Pp1s35_8V6	3659	5048	4391	4301	4125	4766	1,01
Pp1s35_92V6	3165	2388	3033	2147	2594	2374	-1,21
Pp1s35_94V6	8081	7938	8551	8918	8500	10588	1,14
Pp1s35_95V2	11082	11246	11106	8667	9518	7909	-1,28
Pp1s35_95V6	12789	13264	10600	9851	10737	7532	-1,3
Pp1s35_97V6	2751	2931	3293	2861	2894	2976	-1,03
Pp1s35_9V6	9344	9205	8079	9144	8546	9666	1,03
Pp1s360_12V6	136	72	42	61	47	52	-1,56
Pp1s360_13V6	32619	32280	36089	31789	31357	30939	-1,07
Pp1s360_24V6	1404	1362	1365	1210	1201	1313	-1,11
Pp1s360_25V6	902	873	567	744	585	522	-1,27
Pp1s360_26V6	1997	1745	1577	1404	1798	1178	-1,21
Pp1s360_28V6	123	146	123	108	253	226	1,5
Pp1s360_29V6	610	553	750	658	670	504	-1,04
Pp1s360_33V6	4461	4163	4824	3692	4115	4198	-1,12
Pp1s360_34V6	2873	2632	2631	2493	2840	2739	-1,01
Pp1s360_36V6	3274	4252	4705	5211	5133	4156	1,19
Pp1s360_39V6	5892	6287	6318	7096	6397	7322	1,13
Pp1s360_40V6	8844	9348	9114	8096	9445	7631	-1,08
Pp1s360_41V6	133	44	63	49	50	53	-1,58
Pp1s360_44V6	31	28	46	67	46	47	1,52
Pp1s360_46V6	28	42	32	30	28	31	-1,15
Pp1s360_47V6	33	36	37	35	27	31	-1,14
Pp1s360_48V6	31	53	34	26	35	25	-1,37
Pp1s360_49V6	309	323	335	366	301	311	1,01
Pp1s360_50V6	2470	2458	2179	3019	2534	2770	1,17
Pp1s362_10V6	33	42	28	57	109	55	2,15
Pp1s362_11V6	50	59	57	63	77	50	1,14
Pp1s362_12V6	1724	1977	1839	1658	1819	1761	-1,06
Pp1s362_15V6	2440	2301	2500	2965	2697	2592	1,14
Pp1s362_1V6	38	31	65	42	36	41	-1,13
Pp1s362_21V6	760	561	685	514	450	705	-1,2
Pp1s362_27V6	1665	1259	1546	1301	1234	1336	-1,15
Pp1s362_28V6	2843	2356	2358	1916	2082	2082	-1,24
Pp1s362_29V6	3401	2726	2880	2761	2509	2085	-1,22
Pp1s362_33V6	1829	1220	1411	1471	1442	1730	1,04
Pp1s362_35V6	184	115	243	75	252	147	-1,14
Pp1s362_7V6	781	647	767	803	980	826	1,19
Pp1s363_10V6	2303	3496	2053	2446	1687	1773	-1,33
Pp1s363_12V6	734	736	1300	1138	972	987	1,12
