probe_set	wt_a	wt_b	wt_c	ko_a	ko_b	ko_c	fold_change
Pp1s87_15V6	4190	3342	4185	3752	3411	3875	-1,06
Pp1s87_162V6	8617	9831	7897	9168	9499	9313	1,06
Pp1s87_168V6	84	101	72	73	60	72	-1,25
Pp1s87_16V6	52	35	61	46	42	81	1,14
Pp1s87_171V6	9482	10015	9798	10990	9465	9042	1,01
Pp1s87_172V6	46	25	108	32	40	35	-1,67
Pp1s87_175V6	1205	918	1115	961	927	793	-1,21
Pp1s87_176V6	4227	4732	4511	4543	4669	4686	1,03
Pp1s87_178V6	7278	7785	8308	7807	8558	7808	1,03
Pp1s87_179V6	1645	1541	1378	1148	1056	1825	-1,13
Pp1s87_180V6	120	138	90	158	94	104	1,02
Pp1s87_184V6	4374	4822	5093	4112	4810	4720	-1,05
Pp1s87_186V6	111	66	118	43	46	52	-2,09
Pp1s87_187V6	4269	4157	4823	4368	4723	4235	1,01
Pp1s87_190V6	53	37	34	27	45	29	-1,23
Pp1s87_193V6	2506	2433	1891	1978	1803	2590	-1,07
Pp1s87_194V6	62	52	53	110	52	38	1,2
Pp1s87_195V6	182	30	39	218	46	27	1,16
Pp1s87_19V6	8294	7999	8446	8369	8763	8487	1,04
Pp1s87_23V6	5057	4258	4633	2767	2565	2488	-1,78
Pp1s87_27V6	50	50	70	39	44	32	-1,48
Pp1s87_28V6	61	52	29	52	46	42	-1,01
Pp1s87_29V6	908	480	970	672	828	914	1,02
Pp1s87_30V6	511	38	275	169	247	210	-1,32
Pp1s87_35V6	65	57	47	76	105	79	1,54
Pp1s87_36V6	86	111	48	55	69	50	-1,41
Pp1s87_37V6	64	43	63	28	31	45	-1,63
Pp1s87_38V6	4265	4317	3947	3592	3008	2849	-1,33
Pp1s87_39V6	3212	3102	3387	3488	3184	3640	1,06
Pp1s87_3V6	16954	14045	15959	16540	20886	14298	1,1
Pp1s87_43V6	94	116	86	127	83	90	1,01
Pp1s87_44V6	91	211	198	277	220	192	1,38
Pp1s87_45V6	615	603	586	472	583	574	-1,11
Pp1s87_46V6	6232	7400	7508	6259	6191	6081	-1,14
Pp1s87_47V6	6135	6411	5714	5196	5509	5223	-1,15
Pp1s87_48V6	1356	1484	1720	1759	2090	1901	1,26
Pp1s87_50V6	902	1072	1163	711	822	839	-1,32
Pp1s87_54V6	4850	5257	5307	3935	4479	4348	-1,21
Pp1s87_55V6	45	54	40	71	40	61	1,24
Pp1s87_56V6	1320	1241	1552	944	905	1155	-1,37
Pp1s87_57V6	5533	4905	4351	4894	4444	4132	-1,1
Pp1s87_60V6	1277	1097	1110	1084	919	1004	-1,16
Pp1s87_61V6	538	440	578	573	478	577	1,05
Pp1s87_63V6	3554	3945	3883	3427	3070	3615	-1,13
Pp1s87_69V6	1218	992	1300	1816	1708	1633	1,47
Pp1s87_74V6	1034	809	942	1108	1606	1239	1,42
Pp1s87_90V6	114	224	269	222	287	240	1,23
Pp1s87_95V6	74	79	62	42	66	51	-1,35
Pp1s87_97V6	50	32	33	22	26	25	-1,58
Pp1s87_98V6	713	1104	651	2351	2752	2162	2,94
Pp1s87_99V6	33	70	37	40	32	38	-1,27
Pp1s8801_1V6	49	33	45	37	32	38	-1,19
Pp1s880_1V6	1934	2084	2035	2905	3228	2079	1,36
Pp1s8821_1V6	33	37	37	58	58	68	1,72
Pp1s8826_1V6	27	30	75	34	53	34	-1,09
Pp1s882_1V6	969	869	1491	1261	1320	1252	1,15
Pp1s882_2V6	55	87	53	123	63	46	1,19
Pp1s8830_1V6	53	32	44	32	48	27	-1,21
Pp1s8831_1V6	100	53	66	58	65	75	-1,11
Pp1s884_1V6	16108	13386	15439	16845	20028	14410	1,14
Pp1s884_2V6	1786	1546	1575	1978	2039	1815	1,19
Pp1s8858_1V6	28	47	38	26	31	31	-1,28
Pp1s8873_2V6	79	29	33	32	30	29	-1,55
Pp1s887_2V6	33	33	31	35	71	36	1,46
Pp1s8887_1V6	46	53	62	49	64	70	1,14
Pp1s88_100V6	164	234	144	232	138	156	-1,03
Pp1s88_102V6	32	208	61	120	113	180	1,37
Pp1s88_103V6	4694	5320	4362	4224	5834	4738	1,03
Pp1s88_107V6	180	300	350	207	152	274	-1,31
Pp1s88_108V6	6321	7768	4902	6751	8426	7143	1,18
Pp1s88_110V6	3589	3202	3661	3372	2991	2538	-1,17
Pp1s88_112V6	117	174	159	193	273	165	1,4
Pp1s88_113V6	55	42	43	52	36	43	-1,07
Pp1s88_114V6	1111	1284	1178	1327	1363	1065	1,05
Pp1s88_119V6	1071	1087	895	823	882	914	-1,17
Pp1s88_122V6	48	43	38	41	34	31	-1,22
Pp1s88_123V6	2251	2914	1927	2377	1914	2010	-1,13
Pp1s88_125V6	9300	9768	9668	10213	11676	11288	1,15
Pp1s88_128V6	52	35	38	40	23	40	-1,21
Pp1s88_12V6	13966	16114	16276	17241	16667	13202	1,02
Pp1s88_134V6	2614	2118	2686	2637	2399	2714	1,04
Pp1s88_135V6	4820	4300	4601	4641	4094	4174	-1,06
Pp1s88_136V6	1401	2076	1479	1697	2274	1725	1,15
Pp1s88_137V6	301	523	437	566	485	381	1,14
Pp1s88_138V6	6763	6966	6871	6809	6722	7307	1,01
Pp1s88_13V6	496	502	551	432	446	305	-1,31
Pp1s88_141V6	487	450	473	835	689	539	1,46
Pp1s88_142V6	18292	21188	19958	20728	22035	17023	1,01
Pp1s88_145V6	73	97	53	59	73	104	1,06
Pp1s88_147V6	26	87	39	44	41	36	-1,26
Pp1s88_148V6	3223	3486	3516	3379	3407	3837	1,04
Pp1s88_149V6	71	54	46	32	36	24	-1,86
Pp1s88_14V6	3001	2344	2385	1990	2104	1898	-1,29
Pp1s88_150V6	909	727	847	532	522	662	-1,45
Pp1s88_151V6	3810	3120	3207	3031	3214	3151	-1,08
Pp1s88_152V6	237	191	149	189	173	159	-1,11
Pp1s88_153V6	713	811	811	721	814	993	1,08
Pp1s88_155V6	11528	9866	9153	4280	3701	5711	-2,23
Pp1s88_156V6	78	45	27	39	39	46	-1,21
Pp1s88_161V6	226	235	292	396	484	345	1,63
Pp1s88_162V6	143	231	261	121	147	318	-1,08
Pp1s88_173V6	62	65	110	104	57	70	-1,03
Pp1s88_174V6	290	241	338	155	148	215	-1,68
Pp1s88_175V6	41	25	26	32	33	30	1,03
Pp1s88_178V6	1560	1962	1766	1992	2124	1841	1,13
Pp1s88_179V6	6576	6463	6063	6471	6350	6343	1
Pp1s88_17V2	5633	5161	5544	5298	5102	5618	-1,02
Pp1s88_17V6	7420	6991	8318	6601	6003	7395	-1,14
Pp1s88_180V6	5954	5727	6195	5699	5609	6448	-1,01
Pp1s88_181V6	100	95	92	257	138	238	2,21
Pp1s88_182V6	3570	2477	3127	2477	2342	2861	-1,19
Pp1s88_183V6	7105	6680	6943	6582	6964	5851	-1,07
Pp1s88_186V6	304	702	971	512	419	715	-1,2
Pp1s88_187V6	17955	17631	18137	15790	15823	15386	-1,14
Pp1s88_188V6	32	45	36	26	22	47	-1,19
Pp1s88_18V6	22	29	28	59	32	48	1,76
Pp1s88_191V6	34	42	30	46	45	22	1,07
Pp1s88_192V6	11064	8731	8428	10016	9956	10324	1,07
Pp1s88_194V6	279	339	472	231	584	290	1,01
Pp1s88_195V6	7110	6585	6621	7332	7056	6138	1,01
Pp1s88_199V6	2104	2664	2728	2219	2510	2191	-1,08
Pp1s88_1V6	11920	11228	11392	12383	12646	11155	1,05
Pp1s88_200V6	2487	2680	2925	2619	2115	2699	-1,09
Pp1s88_201V6	792	1088	1071	1282	991	1278	1,2
Pp1s88_202V6	33	52	35	43	40	59	1,18
Pp1s88_203V6	8304	8745	7915	6768	7062	5559	-1,29
Pp1s88_208V6	64	158	94	153	165	121	1,39
Pp1s88_210V6	16108	15765	14335	14383	14482	11732	-1,14
Pp1s88_211V6	1239	1196	1190	902	989	981	-1,26
Pp1s88_212V6	10608	10480	9678	10611	9522	7924	-1,1
Pp1s88_214V6	32	33	26	40	75	61	1,93
Pp1s88_217V6	6636	6466	5965	8266	8499	8204	1,31
Pp1s88_220V6	358	161	305	434	263	391	1,32
Pp1s88_221V2	9154	9281	7465	7309	6648	6911	-1,24
Pp1s88_221V6	5990	6731	5021	5397	4399	4777	-1,22
Pp1s88_222V6	706	885	864	729	807	690	-1,1
Pp1s88_225V6	68	55	67	67	35	60	-1,17
Pp1s88_24V6	543	564	442	532	469	564	1,01
Pp1s88_25V6	2522	2524	2562	1922	2237	2312	-1,18
Pp1s88_28V6	21149	19464	17956	20373	19525	21873	1,05
Pp1s88_32V6	21663	20624	20025	23266	21595	24258	1,11
Pp1s88_33V6	172	235	293	208	188	171	-1,23
Pp1s88_35V6	57	43	92	118	103	93	1,64
Pp1s88_36V6	9044	9106	9301	10554	8858	9032	1,04
Pp1s88_37V6	3022	2803	2830	2602	2864	2952	-1,03
Pp1s88_41V6	4207	5132	5248	5079	5670	5986	1,15
Pp1s88_42V6	7155	6817	7063	7343	6818	7690	1,04
Pp1s88_43V6	14785	14367	14089	14009	12730	13488	-1,07
Pp1s88_44V6	2637	3081	2997	2517	2797	2752	-1,08
Pp1s88_45V6	4240	4097	4646	4279	4509	4301	1,01
Pp1s88_46V6	4679	4054	4394	3715	4056	4390	-1,08
Pp1s88_47V6	4620	3607	4403	5218	4771	6006	1,27
Pp1s88_49V6	66	85	35	38	35	45	-1,58
Pp1s88_50V6	108	147	82	50	203	162	1,23
Pp1s88_51V6	6350	7161	6378	7160	7252	5807	1,02
Pp1s88_52V6	100	34	54	75	97	69	1,28
Pp1s88_55V6	61	60	34	52	70	45	1,08
Pp1s88_56V6	74	65	44	39	51	36	-1,45
Pp1s88_57V6	34	30	35	32	27	27	-1,15
Pp1s88_58V6	3965	3366	3685	3486	3370	3029	-1,11
Pp1s88_59V6	134	71	79	120	154	80	1,25
Pp1s88_5V6	3861	3784	4878	3445	2984	3210	-1,3
Pp1s88_60V6	31	84	34	79	54	28	1,08
Pp1s88_62V6	2475	2746	2389	2166	2007	2462	-1,15
Pp1s88_63V6	2074	2579	2710	2528	2573	2656	1,05
Pp1s88_64V6	4095	4276	4174	4610	4478	3735	1,02
Pp1s88_68V2	2379	2539	2518	2642	2828	2736	1,1
Pp1s88_68V6	2556	2794	2757	2908	3083	3152	1,13
Pp1s88_70V6	34	89	42	57	132	50	1,45
Pp1s88_75V6	36	31	66	46	59	42	1,11
Pp1s88_76V6	113	112	118	76	93	87	-1,34
Pp1s88_79V6	380	541	368	254	304	237	-1,62
Pp1s88_7V6	3449	2005	3022	2475	2680	2611	-1,09
Pp1s88_85V6	44	43	78	32	31	35	-1,68
Pp1s88_86V6	105	106	119	104	92	77	-1,21
Pp1s88_87V6	52	47	63	52	52	58	1
Pp1s88_88V6	15855	14750	14888	14384	15479	14230	-1,03
Pp1s88_8V6	793	778	796	827	533	757	-1,12
Pp1s88_92V6	4220	4677	3012	4099	3541	4337	1,01
Pp1s88_96V6	42	37	48	119	103	119	2,69
Pp1s88_97V6	39	35	49	39	24	43	-1,16
Pp1s88_98V6	5129	4823	5159	4587	5099	5063	-1,02
Pp1s8920_1V6	61	174	125	38	54	63	-2,32
Pp1s8947_1V6	97	71	69	54	60	45	-1,49
Pp1s895_1V6	3784	3702	3858	4847	4087	3519	1,1
Pp1s895_3V6	1652	1602	1722	1927	2610	2076	1,33
Pp1s895_5V6	1094	838	1164	1374	639	766	-1,11
Pp1s8993_2V6	44	37	56	36	41	37	-1,2
Pp1s89_101V6	103	101	147	261	120	289	1,91
Pp1s89_104V6	1288	1591	1463	1282	1083	794	-1,37
Pp1s89_108V6	290	230	285	251	262	254	-1,05
Pp1s89_109V6	34	44	64	69	61	45	1,23
Pp1s89_116V6	2579	2336	2593	1494	1382	1592	-1,68
Pp1s89_117V6	59	26	52	66	66	88	1,61
Pp1s89_125V6	1648	1595	1581	1430	1348	1649	-1,09
Pp1s89_126V6	2315	2030	2156	2477	2135	2424	1,08
Pp1s89_128V6	2423	2243	2195	3351	4194	3181	1,56
Pp1s89_130V6	3395	3780	3460	2796	2889	3352	-1,18
Pp1s89_131V6	9438	10423	8719	7892	7965	9667	-1,12
Pp1s89_132V6	45	33	65	58	33	47	-1,04
Pp1s89_134V6	62	30	27	34	38	24	-1,24
Pp1s89_139V6	15455	12801	16146	10756	9080	9192	-1,53
Pp1s89_13V6	44	32	25	32	25	40	-1,04
Pp1s89_145V6	7144	4921	6754	5992	5468	3950	-1,22
Pp1s89_147V6	2633	2776	2815	2765	2578	2479	-1,05
Pp1s89_14V6	60	36	32	42	35	34	-1,15
Pp1s89_150V6	11646	10667	8625	8873	8751	9205	-1,15
Pp1s89_154V6	2729	2905	2930	2661	3199	2900	1,02
Pp1s89_155V6	144	127	161	150	137	88	-1,15
Pp1s89_160V6	44	51	33	91	42	28	1,26
Pp1s89_161V6	10291	8847	9490	9372	9101	8321	-1,07
Pp1s89_168V6	2659	2683	2356	2715	2289	2048	-1,09
Pp1s89_170V6	42	51	27	48	67	85	1,67
Pp1s89_172V6	77	139	58	138	125	143	1,48
Pp1s89_173V6	2967	2220	2557	3084	3138	2924	1,18
Pp1s89_174V6	2034	2359	2051	1806	1724	2103	-1,14
Pp1s89_176V6	1523	1884	2018	1573	1786	1476	-1,12
Pp1s89_178V2	208	261	186	93	149	187	-1,53
Pp1s89_179V6	2993	3033	3050	3015	2856	2936	-1,03
Pp1s89_182V6	2727	2582	3996	3328	3469	2721	1,02
Pp1s89_183V6	1712	1627	1621	1346	1250	1504	-1,21
Pp1s89_187V6	345	483	579	399	430	407	-1,14
Pp1s89_188V6	7322	6185	6858	6876	6126	8080	1,04
Pp1s89_189V6	186	208	94	165	118	166	-1,09
Pp1s89_18V6	257	214	148	491	341	323	1,87
Pp1s89_19V6	5088	4894	4801	5416	4869	5750	1,08
Pp1s89_203V6	46	96	60	52	114	61	1,12
Pp1s89_205V2	1463	1333	1331	1513	1316	1406	1,03
Pp1s89_205V6	712	690	662	787	668	548	-1,03
Pp1s89_209V6	268	216	361	364	327	373	1,26
Pp1s89_20V6	22770	21697	22394	21359	21013	20046	-1,07
Pp1s89_213V6	32	30	54	45	33	43	1,04
Pp1s89_215V6	468	474	397	563	377	373	-1,02
Pp1s89_217V6	12188	12313	11700	10294	11694	11329	-1,09
Pp1s89_218V6	1917	1809	2050	2002	1873	1983	1,01
Pp1s89_21V6	1642	1481	1784	2717	2651	2402	1,58
Pp1s89_220V6	4614	4447	5341	5057	5225	5389	1,09
Pp1s89_221V6	1832	1655	1884	1921	2059	1893	1,09
Pp1s89_222V6	2433	2150	2760	2374	2258	2437	-1,04
Pp1s89_224V6	1499	1748	1897	1513	1598	1407	-1,14
Pp1s89_227V6	65	92	47	69	32	40	-1,45
Pp1s89_229V6	65	33	34	34	36	76	1,11
Pp1s89_235V6	2726	2902	2953	3007	2952	2882	1,03
Pp1s89_236V6	5658	6262	6419	6760	6316	6169	1,05
Pp1s89_237V6	1935	1856	1518	1185	1709	1469	-1,22
Pp1s89_23V6	6548	6253	8331	5645	5338	4949	-1,33
Pp1s89_240V6	39	71	55	38	49	47	-1,23
Pp1s89_248V6	52	71	33	58	61	48	1,07
Pp1s89_249V6	1863	1515	2404	2172	2265	2033	1,12
Pp1s89_24V6	32	41	60	50	47	49	1,1
Pp1s89_250V6	267	74	142	418	259	279	1,98
Pp1s89_259V6	45	42	54	66	41	33	-1,01
Pp1s89_261V6	70	30	60	53	25	33	-1,44
Pp1s89_262V6	8094	9917	7237	9098	7866	8065	-1,01
Pp1s89_265V6	2324	2843	2570	2338	2599	1929	-1,13
Pp1s89_266V6	3787	3733	4475	3666	3864	4225	-1,02
Pp1s89_267V6	1896	2139	2204	2037	1752	2146	-1,05
Pp1s89_268V6	3224	3555	2521	3586	3029	3258	1,06
Pp1s89_26V2	3908	3890	4890	1997	2442	2540	-1,82
Pp1s89_26V6	1729	2255	2219	1213	1196	1168	-1,73
Pp1s89_270V6	8505	8649	7336	8348	7760	7769	-1,03
Pp1s89_282V6	331	393	275	136	119	209	-2,15
Pp1s89_286V6	1055	900	1073	821	1029	1031	-1,05
Pp1s89_28V6	2477	2293	2391	2592	1923	2076	-1,09
Pp1s89_291V6	7761	7873	7200	8704	8947	9290	1,18
Pp1s89_292V6	106	51	190	214	191	260	1,92
Pp1s89_294V6	34	148	32	41	32	35	-1,98
Pp1s89_296V6	61	48	64	39	28	36	-1,68
Pp1s89_298V6	30	40	28	35	27	31	-1,05
Pp1s89_299V6	40	28	46	21	50	79	1,32
Pp1s89_29V6	57	47	60	37	35	36	-1,52
Pp1s89_302V6	6787	7720	7426	7763	8815	7331	1,09
Pp1s89_30V6	12489	11386	10957	11983	11962	12015	1,03
Pp1s89_32V6	1706	1775	2237	1987	2126	1812	1,04
Pp1s89_36V6	146	174	178	170	236	261	1,34
Pp1s89_46V6	1802	1601	1593	1906	1995	1854	1,15
Pp1s89_47V6	357	656	519	471	528	414	-1,08
Pp1s89_51V6	1490	1226	1871	1379	1319	1425	-1,11
Pp1s89_52V6	252	524	522	683	748	723	1,66
Pp1s89_55V6	88	197	74	84	158	170	1,15
Pp1s89_56V6	1694	1953	1602	1344	1406	1452	-1,25
Pp1s89_57V6	63	110	68	183	141	130	1,88
Pp1s89_58V6	64	47	41	31	59	32	-1,25
Pp1s89_5V6	1901	2661	1886	2774	1551	2490	1,06
Pp1s89_62V6	37408	33019	37466	36815	36479	33099	-1,01
Pp1s89_64V6	59	37	58	57	71	50	1,16
Pp1s89_67V6	297	369	356	464	412	441	1,29
Pp1s89_68V6	744	834	1020	916	817	600	-1,11
Pp1s89_69V6	45	77	60	70	57	57	1,01
Pp1s89_72V6	28	73	35	25	30	29	-1,62
Pp1s89_73V6	787	1079	1284	1165	823	1221	1,02
Pp1s89_74V6	1759	2076	1752	1805	1766	1992	-1
Pp1s89_75V6	41	35	40	40	41	54	1,16
Pp1s89_76V6	33	44	41	57	251	129	3,7
Pp1s89_78V6	105	192	233	154	157	492	1,52
Pp1s89_79V6	40	37	43	36	45	56	1,14
Pp1s89_7V6	91	44	51	65	46	43	-1,21
Pp1s89_83V6	2469	2544	2599	2674	2734	2636	1,06
Pp1s89_84V6	11717	10272	10628	8821	8876	7767	-1,28
Pp1s89_87V6	6502	5803	6236	5116	5814	5100	-1,16
Pp1s89_88V6	3413	1669	2562	2561	2872	2125	-1,01
Pp1s89_89V6	127	90	147	282	232	120	1,74
Pp1s89_91V2	1169	950	836	880	859	798	-1,16
Pp1s89_91V6	816	1008	833	742	846	790	-1,12
Pp1s89_93V6	66	60	26	55	32	43	-1,17
Pp1s89_94V6	12685	12279	13998	11279	11634	12067	-1,11
Pp1s89_96V6	37	29	44	53	54	40	1,34
Pp1s8_100V6	32	41	36	47	57	37	1,29
Pp1s8_101V6	1546	1432	2368	2213	2078	2413	1,25
Pp1s8_102V6	58	45	46	45	56	41	-1,05
Pp1s8_103V6	2491	2113	2523	2453	2506	2171	1
Pp1s8_104V6	3942	4019	4092	4526	4978	4985	1,2
Pp1s8_105V6	16274	16404	16614	17025	17477	17542	1,06
Pp1s8_107V6	494	519	633	676	695	390	1,07
Pp1s8_109V6	1059	1658	988	1128	1428	1232	1,02
Pp1s8_10V6	20325	24975	18339	21289	20874	17576	-1,07
Pp1s8_110V6	101	38	50	36	30	46	-1,69
Pp1s8_111V6	25	71	51	54	116	44	1,46
Pp1s8_113V6	29	43	45	31	57	41	1,1
Pp1s8_114V6	4981	4296	4867	4843	5783	4483	1,07
Pp1s8_115V6	3926	4873	3991	4737	5040	4066	1,08
Pp1s8_116V6	6462	5178	7105	6668	6565	6984	1,08
Pp1s8_118V6	1605	1535	1067	1409	1492	1518	1,05
Pp1s8_11V6	445	635	351	514	402	345	-1,13
Pp1s8_120V6	17459	16109	16523	15499	15003	16840	-1,06
Pp1s8_122V6	2804	2843	2677	2576	2303	2979	-1,06
Pp1s8_123V6	2688	2081	2721	2124	2814	2207	-1,05
Pp1s8_124V2	2465	2598	2865	2378	2241	1978	-1,2
Pp1s8_124V6	4506	4373	4664	4192	3959	3939	-1,12
Pp1s8_125V6	42	65	82	39	44	57	-1,35
Pp1s8_127V6	4679	2674	3855	1625	1381	1429	-2,53
Pp1s8_129V6	268	241	114	55	58	55	-3,71
Pp1s8_130V6	3062	3001	3671	2819	2741	2347	-1,23
Pp1s8_131V6	3629	2809	3309	3528	3645	3229	1,07
Pp1s8_132V6	14504	10902	15148	12606	12293	10526	-1,14
Pp1s8_134V6	45	47	61	36	42	47	-1,22
Pp1s8_135V6	3804	2889	3244	2486	2128	1777	-1,55
Pp1s8_137V6	4552	4104	3982	5254	5075	4095	1,14
Pp1s8_13V6	1385	1363	1271	1748	1836	1453	1,25
Pp1s8_140V6	3126	3149	3829	3589	2411	3017	-1,12
Pp1s8_142V6	998	1736	1208	1090	1015	1021	-1,26
Pp1s8_144V6	5139	5153	5056	4036	3871	4115	-1,28
Pp1s8_146V6	1632	2324	1692	1499	1641	1489	-1,22
Pp1s8_147V6	3535	3324	3106	2961	3122	3470	-1,04
Pp1s8_151V6	11457	12540	11245	13413	12858	10301	1,04
Pp1s8_152V6	123	103	190	34	58	81	-2,4
Pp1s8_154V6	2858	2867	2956	3767	3432	3234	1,2
Pp1s8_155V6	48	76	39	28	29	25	-1,99
Pp1s8_156V6	42026	40556	39109	40738	40017	40769	-1
Pp1s8_157V6	65	42	111	33	44	49	-1,73
Pp1s8_158V6	56	109	57	62	42	51	-1,43
Pp1s8_159V6	123	81	99	79	123	74	-1,1
Pp1s8_15V6	3405	4253	4539	4503	4818	5110	1,18
Pp1s8_160V6	724	694	516	606	712	767	1,08
Pp1s8_162V6	130	201	190	286	198	215	1,34
Pp1s8_163V6	2228	1893	2180	1919	1835	2053	-1,09
Pp1s8_166V6	268	214	185	429	215	361	1,51
Pp1s8_168V6	7462	7151	7064	7074	6568	6778	-1,06
Pp1s8_169V6	6962	8333	7785	6682	6810	5966	-1,19
Pp1s8_170V6	1042	1479	1078	1657	1605	1409	1,3
Pp1s8_171V6	36	48	45	63	59	43	1,28
Pp1s8_172V6	2521	2763	2581	2746	2573	3113	1,07
Pp1s8_174V6	61	61	44	30	28	44	-1,63
Pp1s8_176V6	5025	4969	4862	4202	3416	4930	-1,18
Pp1s8_178V6	757	766	846	959	925	799	1,13
Pp1s8_179V6	49	110	110	52	72	56	-1,49
Pp1s8_180V6	3048	3127	2826	2995	3330	3517	1,09
Pp1s8_181V6	2487	2299	2294	2493	2617	2196	1,03
Pp1s8_183V6	5230	5116	5684	5558	5410	4369	-1,05
Pp1s8_186V6	289	145	178	162	147	245	-1,1
Pp1s8_187V6	1803	1291	1476	1377	1475	1338	-1,09
Pp1s8_189V6	44	47	30	44	38	42	1,02
Pp1s8_193V6	531	658	603	701	626	655	1,11
Pp1s8_194V6	13185	11999	14031	10243	10871	9417	-1,28
Pp1s8_195V6	3879	3625	3121	3022	3409	3147	-1,11
Pp1s8_196V6	8741	10122	10436	9390	8618	8530	-1,1
Pp1s8_199V6	8080	10122	6853	4781	4223	4734	-1,82
Pp1s8_1V6	1133	1028	1626	1768	1755	1495	1,33
Pp1s8_201V6	1164	998	1154	1892	2223	2108	1,88
Pp1s8_207V6	6477	6783	6707	6495	6054	7400	-1
Pp1s8_209V6	11061	11454	8906	8524	8193	10687	-1,15
Pp1s8_212V6	35	32	119	36	30	33	-1,88
Pp1s8_222V6	48	50	41	74	59	39	1,24
Pp1s8_223V6	81	39	34	32	46	30	-1,43
Pp1s8_225V6	52	49	35	56	73	39	1,24
Pp1s8_226V6	80	35	36	39	46	53	-1,09
Pp1s8_227V6	1617	2007	2031	1960	1833	1735	-1,02
Pp1s8_232V6	129	108	122	147	87	107	-1,05
Pp1s8_237V6	41	39	34	41	31	42	1
Pp1s8_239V6	1867	1557	1738	1957	1685	1968	1,09
Pp1s8_240V6	1950	2216	1845	3779	2671	3351	1,63
Pp1s8_244V6	19630	20905	17742	17096	14509	15753	-1,23
Pp1s8_245V6	536	306	792	953	627	951	1,55
Pp1s8_246V6	100	67	104	132	153	167	1,67
Pp1s8_249V6	11390	11075	8569	9010	7663	8478	-1,23
Pp1s8_24V6	1332	1205	1081	1338	1351	1630	1,19
Pp1s8_250V6	4421	4492	4149	4083	4011	4414	-1,04
Pp1s8_254V6	30	24	29	23	30	40	1,12
Pp1s8_260V6	2730	2670	2583	3036	3058	2988	1,14
Pp1s8_261V6	1520	2069	2058	1889	1833	1604	-1,06
Pp1s8_262V6	1043	1112	864	935	908	872	-1,11
Pp1s8_263V6	132	166	210	210	102	211	1,03
Pp1s8_264V6	1341	1207	963	1012	1200	1312	1
Pp1s8_265V6	3294	3275	3371	3399	3661	3592	1,07
Pp1s8_270V6	8701	8478	8622	8737	7576	7720	-1,07
Pp1s8_271V6	11695	11507	11775	11841	12211	10986	1
Pp1s8_276V6	36	39	42	25	31	23	-1,48
Pp1s8_277V6	50	55	70	47	31	74	-1,15
Pp1s8_278V6	17305	16862	19273	16328	16620	17070	-1,07
Pp1s8_27V6	100	47	61	83	52	66	-1,03
Pp1s8_280V6	292	483	410	357	269	309	-1,27
Pp1s8_282V6	10521	9717	12243	9695	9710	9823	-1,11
Pp1s8_285V6	4966	5155	4938	5328	5110	5504	1,06
Pp1s8_286V6	41	232	50	48	49	57	-2,1
Pp1s8_288V6	19641	19441	20792	18302	17898	16669	-1,13
Pp1s8_294V6	56	36	36	47	49	30	-1,02
Pp1s8_295V6	30	42	42	36	44	45	1,1
Pp1s8_297V6	6034	5196	6478	6717	5544	5654	1,01
Pp1s8_299V6	6720	7621	8562	8045	7889	7685	1,03
Pp1s8_29V6	1298	1108	911	1267	1400	1389	1,22
Pp1s8_302V6	3722	3511	3975	3535	3153	3919	-1,06
Pp1s8_304V6	10619	10948	11611	10995	12142	10049	1
Pp1s8_307V6	4181	4786	4230	4030	4550	3602	-1,08
Pp1s8_30V6	2250	2157	2081	2948	2630	2789	1,29
Pp1s8_310V6	30	29	24	40	38	46	1,49
Pp1s8_311V6	928	1004	1097	915	989	1166	1,01
Pp1s8_312V6	5241	5509	5009	4570	5737	5756	1,02
Pp1s8_313V6	2822	2935	3084	2983	3335	3295	1,09
Pp1s8_315V6	418	508	1045	712	853	556	1,08
Pp1s8_33V6	401	242	437	272	316	364	-1,13
Pp1s8_34V6	79	84	35	46	42	38	-1,57
Pp1s8_36V6	5491	6552	5322	8509	8759	9799	1,56
Pp1s8_39V6	4577	5425	4708	4056	4461	3588	-1,22
Pp1s8_3V6	19919	19028	20808	22521	21979	21096	1,1
Pp1s8_41V6	41	34	41	39	34	37	-1,05
Pp1s8_42V6	93	115	113	517	105	45	2,08
Pp1s8_43V6	33	41	25	36	103	63	2,04
Pp1s8_46V6	3176	3370	3089	3737	3759	4226	1,22
Pp1s8_52V6	5114	5578	4453	3047	3964	3757	-1,41
Pp1s8_53V6	3066	3230	2603	1471	1761	1576	-1,85
Pp1s8_54V6	232	411	452	609	528	424	1,43
Pp1s8_56V6	4612	4093	3305	3692	3456	3023	-1,18
Pp1s8_59V6	2496	1651	3892	2947	2751	2277	-1,01
Pp1s8_62V6	302	182	388	279	271	228	-1,12
Pp1s8_63V6	5792	6396	5449	5829	6251	5940	1,02
Pp1s8_65V6	38	38	75	49	44	48	-1,07
Pp1s8_66V6	6279	5927	6689	6667	7560	7767	1,16
Pp1s8_67V6	163	98	162	109	68	98	-1,54
Pp1s8_69V6	81	120	75	166	111	177	1,64
Pp1s8_6V6	1861	2384	2436	1789	2100	2588	-1,03
Pp1s8_70V6	23567	26126	26085	19930	19197	22413	-1,23
Pp1s8_71V6	34	38	46	50	41	42	1,13
Pp1s8_72V6	111	31	51	109	82	59	1,3
Pp1s8_73V6	8515	8171	9107	8366	9579	9160	1,05
