probe_set	wt_a	wt_b	wt_c	baseline mean	baseline mean's SE	ko_a	ko_b	ko_c	experiment mean	experiment mean's SE	fold change	lower bound of FC	upper bound of FC
Pp1s284_35V6__1	58	79	60	65,67	6,69	88	55	76	73	9,64	1,11	0,83	1,45
Pp1s284_36V6__1	45	44	54	47,67	3,18	66	85	106	85,67	11,55	1,8	1,37	2,27
Pp1s284_37V6__1	670	98	1039	602,33	273,74	119	96	140	118,33	12,71	-5,09	-1,28	-9,23
Pp1s284_40V6__1	5564	7220	6662	6482	486,44	4965	5629	4114	4902,67	438,45	-1,32	-1,09	-1,61
Pp1s284_41V6__1	3802	3423	2831	3352	282,54	3713	3085	3702	3500	207,52	1,04	0,88	1,24
Pp1s284_44V6__1	33	42	41	38,67	2,85	31	38	122	63,67	29,24	1,65	0,4	2,94
Pp1s284_46V6__1	3489	3629	4098	3738,67	184,16	2850	2357	3189	2798,67	241,55	-1,34	-1,14	-1,59
Pp1s284_47V6__1	46	66	39	50,33	8,09	28	32	38	32,67	2,91	-1,54	-1,1	-2,05
Pp1s284_48V6__1	1063	1059	792	971,33	89,67	1383	930	1145	1152,67	130,83	1,19	0,92	1,5
Pp1s284_50V6__1	1640	1894	1492	1675,33	117,38	1848	1638	1754	1746,67	60,73	1,04	0,92	1,19
Pp1s284_52V6__1	1104	769	898	923,67	97,55	1417	1096	1207	1240	94,12	1,34	1,09	1,68
Pp1s284_57V6__1	614	750	945	769,67	96,06	1359	1416	1556	1443,67	58,53	1,88	1,54	2,38
Pp1s284_61V6__1	40	95	35	56,67	19,22	58	30	34	40,67	8,74	-1,39	-0,59	-2,6
Pp1s284_63V6__1	45	71	84	66,67	11,46	86	93	81	86,67	3,48	1,3	1	1,82
Pp1s284_66V2__1	3169	3533	2921	3207,67	177,72	2073	2684	2207	2321,33	185,41	-1,38	-1,18	-1,63
Pp1s284_67V6__1	5369	4936	4787	5030,67	174,55	3301	3926	3097	3441,33	249,39	-1,46	-1,29	-1,68
Pp1s284_6V6__1	2324	2783	3156	2754,33	240,61	2237	2253	2697	2395,67	150,74	-1,15	-0,96	-1,37
Pp1s284_71V6__1	393	287	382	354	33,65	382	371	428	393,67	17,46	1,11	0,94	1,34
Pp1s284_76V6__1	3542	3782	2717	3347	322,53	2668	2300	2431	2466,33	107,69	-1,36	-1,13	-1,6
Pp1s284_7V6__1	5605	4891	5957	5484,33	313,59	5866	5357	5059	5427,33	235,6	-1,01	-0,9	-1,14
Pp1s284_9V6__1	1369	1176	1636	1393,67	133,36	1383	1921	1536	1613,33	160,05	1,16	0,92	1,45
Pp1s285_10V6__1	19624	19342	22139	20368,33	889,07	23491	24859	25201	24517	522,41	1,2	1,11	1,31
Pp1s285_11V6__1	696	703	583	660,67	38,89	648	596	448	564	59,91	-1,17	-0,97	-1,45
Pp1s285_12V6__1	1424	1035	1116	1191,67	118,5	1013	1146	1372	1177	104,79	-1,01	-0,81	-1,26
Pp1s285_14V6__1	59	46	91	65,33	13,37	113	106	107	108,67	2,19	1,66	1,24	2,51
Pp1s285_15V6__1	1878	4144	2062	2694,67	726,61	5332	5053	6110	5498,33	316,26	2,04	1,39	3,69
Pp1s285_18V6__1	4954	4983	5692	5209,67	241,31	5453	5948	5402	5601	174,12	1,08	0,98	1,18
Pp1s285_26V6__1	659	921	632	737,33	92,16	889	957	952	932,67	21,88	1,26	1,04	1,6
Pp1s285_28V6__1	403	464	120	329	105,97	274	454	608	445,33	96,51	1,35	0,73	3,03
Pp1s285_2V6__1	1450	1306	888	1214,67	168,54	1067	936	955	986	40,87	-1,23	-0,94	-1,53
Pp1s285_32V6__1	1896	2130	2192	2072,67	90,13	2553	3277	2643	2824,33	227,82	1,36	1,16	1,58
Pp1s285_33V6__1	79	93	63	78,33	8,67	84	155	88	109	23,03	1,39	0,88	2
Pp1s285_34V6__1	140	42	79	87	28,57	47	64	38	49,67	7,62	-1,75	-0,78	-2,96
Pp1s285_3V6__1	39	52	30	40,33	6,39	43	37	26	35,33	4,98	-1,14	-0,79	-1,62
Pp1s285_41V6__1	6330	6252	5060	5880,67	410,95	5763	5833	6291	5962,33	165,57	1,01	0,9	1,15
Pp1s285_44V6__1	52	60	34	48,67	7,69	52	31	50	44,33	6,69	-1,1	-0,76	-1,58
Pp1s285_47V6__1	2778	3069	2836	2894,33	88,92	2628	2493	2623	2581,33	44,19	-1,12	-1,06	-1,19
Pp1s285_4V6__1	26	49	39	38	6,66	44	27	33	34,67	4,98	-1,1	-0,74	-1,59
Pp1s285_50V6__1	5549	5105	5480	5378	137,95	5409	4816	5747	5324	272,1	-1,01	-0,92	-1,11
Pp1s285_52V6__1	36	58	37	43,67	7,17	72	67	33	57,33	12,25	1,31	0,8	2,03
Pp1s285_53V6__1	34	37	46	39	3,61	50	35	53	46	5,57	1,18	0,91	1,51
Pp1s285_54V6__1	2196	2979	1957	2377,33	308,64	2588	2296	2100	2328	141,78	-1,02	-0,79	-1,27
Pp1s285_56V6__1	54	38	65	52,33	7,84	33	49	46	42,67	4,91	-1,23	-0,88	-1,66
Pp1s285_5V6__1	64	150	68	94	28,02	52	75	72	66,33	7,22	-1,42	-0,71	-2,22
Pp1s285_6V6__1	61	35	75	57	11,72	44	37	36	39	2,52	-1,46	-0,96	-2
Pp1s285_71V6__1	73	64	52	63	6,08	66	77	55	66	6,35	1,05	0,84	1,31
Pp1s285_76V6__1	27	69	36	44	12,77	34	42	32	36	3,06	-1,22	-0,63	-1,86
Pp1s285_7V6__1	67	38	65	56,67	9,35	55	91	84	76,67	11,02	1,35	0,94	1,98
Pp1s285_9V6__1	42	30	25	32,33	5,04	32	38	69	46,33	11,46	1,43	0,81	2,25
Pp1s2860_1V6__1	32	58	36	42	8,08	33	31	23	29	3,06	-1,45	-0,96	-2,03
Pp1s2860_3V6__1	68	89	43	66,67	13,3	40	38	46	41,33	2,4	-1,61	-1,07	-2,18
Pp1s286_11V6__1	290	92	286	222,67	65,34	265	223	184	224	23,39	1,01	0,65	1,97
Pp1s286_12V6__1	3028	2607	2456	2697	171,14	3178	3565	3203	3315,33	125,04	1,23	1,09	1,39
Pp1s286_14V6__1	4395	5092	4981	4822,67	216,22	4062	4829	4870	4587	262,77	-1,05	-0,93	-1,19
Pp1s286_15V6__1	5629	5241	5070	5313,33	165,37	5429	4712	5467	5202,67	245,58	-1,02	-0,93	-1,12
Pp1s286_16V6__1	3409	3983	4003	3798,33	194,75	3636	3666	3526	3609,33	42,56	-1,05	-0,96	-1,14
Pp1s286_1V6__1	369	485	314	389,33	50,4	267	561	368	398,67	86,24	1,02	0,64	1,51
Pp1s286_20V6__1	4606	4427	4211	4414,67	114,19	3417	4214	4036	3889	241,53	-1,14	-1,02	-1,27
Pp1s286_22V2__1	3114	3970	3740	3608	255,77	2768	2676	2138	2527,33	196,47	-1,43	-1,2	-1,7
Pp1s286_22V6__1	12196	11363	10530	11363	480,93	10149	8927	8834	9303,33	423,68	-1,22	-1,1	-1,35
Pp1s286_27V6__1	33	47	55	45	6,43	42	41	50	44,33	2,85	-1,02	-0,76	-1,29
Pp1s286_28V6__1	372	231	186	263	56,03	279	301	571	383,67	93,88	1,46	0,81	2,52
Pp1s286_29V6__1	53	46	97	65,33	15,96	47	47	55	49,67	2,67	-1,32	-0,78	-1,87
Pp1s286_30V6__1	888	618	720	742	78,71	461	604	397	487,33	61,19	-1,52	-1,16	-2,02
Pp1s286_33V6__1	4920	4970	3858	4582,67	362,62	5237	4738	4250	4741,67	284,93	1,03	0,88	1,22
Pp1s286_34V6__1	68	61	31	53,33	11,35	27	31	26	28	1,53	-1,9	-1,23	-2,61
Pp1s286_35V6__1	4135	3341	3051	3509	324	3073	3842	2894	3269,67	290,79	-1,07	-0,87	-1,33
Pp1s286_36V6__1	7632	6689	8111	7477,33	417,72	6898	7849	6996	7247,67	301,99	-1,03	-0,92	-1,16
Pp1s286_37V6__1	9259	7049	9409	8572,33	762,9	7341	8071	7415	7609	231,99	-1,13	-0,95	-1,3
Pp1s286_38V6__1	2544	3545	3716	3268,33	365,52	2429	2114	2189	2244	95	-1,46	-1,18	-1,75
Pp1s286_40V6__1	1814	2031	1619	1821,33	118,99	1859	2079	1675	1871	116,78	1,03	0,89	1,19
Pp1s286_43V6__1	5355	4630	5607	5197,33	292,85	4609	5590	5227	5142	286,36	-1,01	-0,89	-1,15
Pp1s286_44V6__1	17088	17138	17151	17125,67	19,2	13536	14166	13204	13635,33	282,11	-1,26	-1,21	-1,3
Pp1s286_45V6__1	739	692	852	761	47,48	665	634	722	673,67	25,77	-1,13	-1	-1,27
Pp1s286_47V6__1	37	30	54	40,33	7,13	70	45	37	50,67	9,94	1,26	0,79	1,95
Pp1s286_48V6__1	42	78	100	73,33	16,9	49	54	52	51,67	1,45	-1,42	-0,88	-1,97
Pp1s286_50V6__1	4524	4312	4268	4368	79,03	4117	4227	3796	4046,67	129,29	-1,08	-1,02	-1,15
Pp1s286_51V6__1	149	322	281	250,67	52,19	500	404	503	469	32,51	1,87	1,36	2,88
Pp1s286_52V6__1	5170	4465	4161	4598,67	298,84	4651	4727	4165	4514,33	176,04	-1,02	-0,9	-1,15
Pp1s286_53V6__1	6182	6728	4750	5886,67	589,78	4160	4135	3925	4073,33	74,52	-1,45	-1,2	-1,69
Pp1s286_57V6__1	67	55	55	59	4	63	45	46	51,33	5,84	-1,15	-0,93	-1,45
Pp1s286_59V6__1	177	150	128	151,67	14,17	233	253	212	232,67	11,84	1,53	1,3	1,85
Pp1s286_5V6__1	1515	1483	1597	1531,67	33,95	1242	1031	1401	1224,67	107,16	-1,25	-1,09	-1,47
Pp1s286_60V6__1	307	175	248	243,33	38,18	365	406	271	347,33	39,96	1,43	1,05	2,01
Pp1s286_62V6__1	65	33	36	44,67	10,2	46	47	32	41,67	4,84	-1,07	-0,65	-1,57
Pp1s286_65V6__1	98	48	67	71	14,57	47	50	52	49,67	1,45	-1,43	-0,94	-1,92
Pp1s286_68V6__1	832	1108	901	947	82,93	1526	908	1538	1324	208,03	1,4	1,01	1,85
Pp1s286_6V6__1	4480	5353	5592	5141,67	337,95	5523	5087	6038	5549,33	274,85	1,08	0,94	1,24
Pp1s286_70V6__1	78	40	42	53,33	12,35	45	53	42	46,67	3,28	-1,14	-0,7	-1,62
Pp1s286_72V6__1	46	29	37	37,33	4,91	22	34	33	29,67	3,84	-1,26	-0,92	-1,71
Pp1s286_74V6__1	37	39	33	36,33	1,76	31	42	57	43,33	7,54	1,19	0,84	1,56
Pp1s286_77V6__1	40	37	43	40	1,73	42	89	92	74,33	16,19	1,86	1,19	2,55
Pp1s286_7V6__1	70	107	74	83,67	11,72	58	46	44	49,33	4,37	-1,7	-1,26	-2,2
Pp1s286_8V6__1	69	129	152	116,67	24,74	61	84	63	69,33	7,36	-1,68	-1,07	-2,4
Pp1s286_9V6__1	35	40	45	40	2,89	41	47	43	43,67	1,76	1,09	0,96	1,26
Pp1s2877_1V6__1	33	38	101	57,33	21,88	30	32	49	37	6,03	-1,55	-0,57	-2,77
Pp1s287_12V6__1	11483	9849	10290	10540,67	488,06	7992	8293	8077	8120,67	89,59	-1,3	-1,2	-1,4
Pp1s287_13V6__1	5962	7477	5646	6361,67	565,08	6150	5486	4745	5460,33	405,79	-1,17	-0,96	-1,41
Pp1s287_17V6__1	4762	5554	4926	5080,67	241,36	5244	5562	5804	5536,67	162,15	1,09	1	1,2
Pp1s287_18V6__1	11342	11125	13050	11839	608,73	12040	11139	12892	12023,67	506,11	1,02	0,91	1,13
Pp1s287_20V6__1	34445	33381	32779	33535	487,06	33431	33951	33597	33659,67	153,35	1	0,98	1,03
Pp1s287_23V6__1	10689	8891	11525	10368,33	777,09	11721	13161	8851	11244,33	1266,81	1,08	0,86	1,35
Pp1s287_25V6__1	2223	1855	2689	2255,67	241,31	4866	4510	5728	5034,67	361,58	2,23	1,82	2,79
Pp1s287_27V6__1	899	886	1324	1036,33	143,88	1360	1217	1028	1201,67	96,15	1,16	0,9	1,54
Pp1s287_29V6__1	29194	29907	30385	29828,67	346,04	29981	28461	28691	29044,33	473,02	-1,03	-0,99	-1,06
Pp1s287_30V6__1	923	1125	1588	1212	196,84	1236	1243	1128	1202,33	37,22	-1,01	-0,74	-1,29
Pp1s287_31V6__1	13992	14560	17108	15220	958,13	10942	7991	10064	9665,67	874,85	-1,57	-1,32	-1,9
Pp1s287_32V6__1	5330	5241	4504	5025	261,76	4248	4523	4479	4416,67	85,28	-1,14	-1,03	-1,24
Pp1s287_33V6__1	1455	1697	1497	1549,67	74,66	1612	1676	1442	1576,67	69,82	1,02	0,91	1,13
Pp1s287_34V6__1	18040	18456	16917	17804,33	459,63	16522	15521	17528	16523,67	579,37	-1,08	-1	-1,16
Pp1s287_35V6__1	85	55	35	58,33	14,53	128	73	68	89,67	19,22	1,54	0,89	2,81
Pp1s287_36V6__1	64	38	82	61,33	12,77	59	81	87	75,67	8,51	1,23	0,86	1,93
Pp1s287_37V6__1	775	898	944	872,33	50,45	848	948	969	921,67	37,33	1,06	0,94	1,19
Pp1s287_38V6__1	7472	6614	6948	7011,33	249,7	7247	7242	6686	7058,33	186,17	1,01	0,94	1,08
Pp1s287_51V6__1	8665	8876	7185	8242	532	7683	8338	8056	8025,67	189,69	-1,03	-0,91	-1,14
Pp1s287_53V6__1	2168	2344	2627	2379,67	133,7	3097	3289	2952	3112,67	97,6	1,31	1,18	1,46
Pp1s287_55V6__1	3431	3155	4491	3692,33	407,2	4425	4316	4134	4291,67	84,88	1,16	0,98	1,42
Pp1s287_56V6__1	6721	5560	6383	6221,33	344,76	6034	5544	5107	5561,67	267,75	-1,12	-0,99	-1,26
Pp1s287_57V6__1	34	52	136	74	31,43	116	58	45	73	21,83	-1,01	-0,29	-2,38
Pp1s287_5V6__1	17349	15074	14866	15763	795,27	16445	15846	14899	15730	450,04	-1	-0,91	-1,1
Pp1s287_60V6__1	35	44	40	39,67	2,6	40	56	52	49,33	4,81	1,24	1,02	1,5
Pp1s287_61V6__1	36929	34667	32987	34861	1142,08	36316	32734	36060	35036,67	1153,7	1,01	0,93	1,08
Pp1s287_63V6__1	13456	14256	11032	12914,67	969,25	10377	10215	9846	10146	157,12	-1,27	-1,11	-1,43
Pp1s287_65V6__1	7032	8625	7251	7636	498,52	7531	7278	7390	7399,67	73,19	-1,03	-0,92	-1,14
Pp1s287_66V6__1	96	112	41	83	21,5	42	54	32	42,67	6,36	-1,95	-1,08	-3,06
Pp1s287_67V6__1	2866	3912	3639	3472,33	313,24	2450	2689	2236	2458,33	130,84	-1,41	-1,18	-1,67
Pp1s287_69V6__1	30	49	34	37,67	5,78	36	33	54	41	6,56	1,09	0,75	1,58
Pp1s287_6V6__1	68	62	74	68	3,46	56	64	49	56,33	4,33	-1,21	-1,04	-1,41
Pp1s287_72V6__1	98	51	76	75	13,58	163	553	320	345,33	113,29	4,6	2,05	8,06
Pp1s287_75V6__1	72	55	40	55,67	9,24	55	37	47	46,33	5,21	-1,2	-0,84	-1,65
Pp1s287_76V6__1	4679	5995	5192	5288,67	382,96	4359	4941	5073	4791	219,34	-1,1	-0,95	-1,27
Pp1s287_9V6__1	63	47	61	57	5,03	34	45	82	53,67	14,52	-1,06	-0,71	-1,94
Pp1s2883_2V6__1	83	66	43	64	11,59	40	53	46	46,33	3,76	-1,38	-0,95	-1,86
Pp1s2883_4V6__1	33	89	42	54,67	17,36	40	51	30	40,33	6,06	-1,36	-0,63	-2,26
Pp1s288_10V6__1	25781	24803	24038	24874	504,41	25841	26372	22853	25022	1095,28	1,01	0,93	1,09
Pp1s288_13V6__1	3253	3530	3349	3377,33	81,21	3514	3538	3792	3614,67	88,94	1,07	1,01	1,13
Pp1s288_14V6__1	5429	5402	4179	5003,33	412,24	3131	3662	4521	3771,33	404,97	-1,33	-1,07	-1,67
Pp1s288_16V6__1	37	48	43	42,67	3,18	54	57	49	53,33	2,33	1,25	1,09	1,45
Pp1s288_17V6__1	55	38	42	45	5,13	77	36	48	53,67	12,17	1,19	0,73	1,74
Pp1s288_20V6__1	135	249	135	173	38	101	85	82	89,33	5,9	-1,94	-1,22	-2,69
Pp1s288_23V6__1	1337	1198	973	1169,33	106,05	1430	1117	1043	1196,67	118,61	1,02	0,82	1,28
Pp1s288_25V6__1	33	41	40	38	2,52	58	52	53	54,33	1,86	1,43	1,27	1,62
Pp1s288_27V6__1	1473	1490	1387	1450	31,88	1270	1419	1451	1380	55,77	-1,05	-0,98	-1,14
Pp1s288_29V6__1	31	22	36	29,67	4,1	30	33	43	35,33	3,93	1,19	0,89	1,62
Pp1s288_2V6__1	3441	3351	3279	3357	46,86	3494	3427	3847	3589,33	130,28	1,07	1	1,14
Pp1s288_33V6__1	48	52	31	43,67	6,44	39	42	42	41	1	-1,07	-0,8	-1,33
Pp1s288_36V6__1	3311	3612	3171	3364,67	130,1	3275	3140	3136	3183,67	45,68	-1,06	-0,99	-1,13
Pp1s288_37V6__1	3876	3853	3613	3780,67	84,1	3665	3646	3469	3593,33	62,41	-1,05	-1	-1,1
Pp1s288_38V6__1	3792	4328	4877	4332,33	313,22	3986	4155	4406	4182,33	122,01	-1,04	-0,91	-1,17
Pp1s288_39V6__1	32	44	41	39	3,61	52	99	77	76	13,58	1,95	1,34	2,65
Pp1s288_3V6__1	52	60	68	60	4,62	62	56	34	50,67	8,51	-1,18	-0,89	-1,67
Pp1s288_40V6__1	165	146	142	151	7,09	165	119	114	132,67	16,23	-1,14	-0,93	-1,44
Pp1s288_41V6__1	2028	2947	3354	2776,33	392,18	2278	2814	2508	2533,33	155,25	-1,1	-0,83	-1,39
Pp1s288_42V6__1	6052	4651	6214	5639	496,21	5752	5721	5896	5789,67	53,91	1,03	0,9	1,2
Pp1s288_43V6__1	4686	4620	4945	4750,33	99,18	6352	5502	6047	5967	248,61	1,26	1,16	1,35
Pp1s288_45V6__1	7541	6251	5790	6527,33	524,01	6713	7165	6290	6722,67	252,64	1,03	0,9	1,2
Pp1s288_49V6__1	484	488	660	544	58,01	826	712	697	745	40,73	1,37	1,14	1,69
Pp1s288_4V6__1	1771	1567	1371	1569,67	115,48	1486	1808	1593	1629	94,68	1,04	0,89	1,22
Pp1s288_50V6__1	111	154	54	106,33	28,96	44	63	56	54,33	5,55	-1,96	-1,06	-2,97
Pp1s288_51V6__1	34	33	31	32,67	0,88	45	30	32	35,67	4,7	1,09	0,85	1,34
Pp1s288_52V6__1	11367	10268	13710	11781,67	1015,02	15301	14261	14564	14708,67	308,81	1,25	1,09	1,46
Pp1s288_55V6__1	96	69	26	63,67	20,38	33	29	28	30	1,53	-2,12	-1	-3,27
Pp1s288_56V6__1	5798	5647	6252	5899	181,8	4155	3956	4384	4165	123,65	-1,42	-1,32	-1,52
Pp1s288_59V2__1	82	151	198	143,67	33,69	181	182	151	171,33	10,17	1,19	0,85	1,96
Pp1s288_60V6__1	64	57	76	65,67	5,55	32	39	53	41,33	6,17	-1,59	-1,22	-2,16
Pp1s288_62V6__1	14513	12428	12859	13266,67	635,47	14295	13855	15414	14521,33	464,05	1,09	1	1,21
Pp1s288_63V6__1	1261	265	547	691	296,4	249	254	338	280,33	28,87	-2,46	-0,72	-4,35
Pp1s288_65V6__1	842	572	471	628,33	110,74	729	536	510	591,67	69,08	-1,06	-0,72	-1,48
Pp1s288_6V6__1	58	84	68	70	7,57	90	58	51	66,33	12	-1,06	-0,76	-1,55
Pp1s288_7V6__1	38	51	29	39,33	6,39	35	32	27	31,33	2,33	-1,26	-0,9	-1,65
Pp1s2891_1V6__1	34	61	38	44,33	8,41	70	39	76	61,67	11,46	1,39	0,88	2,2
Pp1s2891_3V6__1	50	52	41	47,67	3,38	69	69	51	63	6	1,32	1,08	1,6
Pp1s2896_1V6__1	33	52	49	44,67	5,9	52	40	36	42,67	4,81	-1,05	-0,78	-1,39
Pp1s289_11V6__1	3602	3600	4231	3811	210	4292	4130	4849	4423,67	217,75	1,16	1,03	1,31
Pp1s289_12V6__1	56	48	76	60	8,33	86	76	51	71	10,41	1,18	0,84	1,66
Pp1s289_15V6__1	1914	3192	1599	2235	487,06	2741	1908	2312	2320,33	240,5	1,04	0,72	1,66
Pp1s289_19V6__1	6189	5500	4318	5335,67	546,33	5149	4451	5431	5010,33	291,27	-1,06	-0,87	-1,28
Pp1s289_20V6__1	115	46	41	67,33	23,88	98	81	75	84,67	6,89	1,26	0,78	3,04
Pp1s289_23V6__1	2290	2329	2527	2382	73,37	2623	2548	2308	2493	95	1,05	0,96	1,13
Pp1s289_24V6__1	94	51	38	61	16,92	39	40	48	42,33	2,85	-1,44	-0,78	-2,14
Pp1s289_26V6__1	2846	1888	2886	2540	326,2	2034	1924	2160	2039,33	68,18	-1,25	-0,98	-1,52
Pp1s289_29V6__1	28	41	48	39	5,86	38	31	33	34	2,08	-1,15	-0,85	-1,47
Pp1s289_2V6__1	85	92	274	150,33	61,87	93	75	263	143,67	59,89	-1,05	-0,31	-3,64
Pp1s289_31V6__1	27	47	31	35	6,11	29	29	30	29,33	0,33	-1,19	-0,85	-1,54
Pp1s289_32V6__1	38	73	94	68,33	16,33	41	58	47	48,67	4,98	-1,4	-0,83	-2,06
Pp1s289_33V6__1	31	31	45	35,67	4,67	55	33	31	39,67	7,69	1,11	0,72	1,61
Pp1s289_35V6__1	40	62	113	71,67	21,62	26	28	31	28,33	1,45	-2,53	-1,27	-3,83
Pp1s289_36V6__1	31	53	25	36,33	8,51	51	38	39	42,67	4,18	1,17	0,81	1,95
Pp1s289_37V2__1	7487	8980	6859	7775,33	629,02	8810	9007	9596	9137,67	236,12	1,18	1,03	1,36
Pp1s289_37V6__1	12372	12832	11272	12158,67	462,79	12690	12345	12554	12529,67	100,33	1,03	0,97	1,1
Pp1s289_39V6__1	84	59	92	78,33	9,94	267	157	131	185	41,68	2,36	1,44	3,5
Pp1s289_40V6__1	1316	1139	1288	1247,67	54,93	1036	997	818	950,33	67,12	-1,31	-1,15	-1,51
Pp1s289_41V6__1	16632	17709	15199	16513,33	727	16606	16369	15084	16019,67	472,81	-1,03	-0,94	-1,12
Pp1s289_49V6__1	285	540	579	468	92,19	658	613	726	665,67	32,84	1,42	1,06	2,12
Pp1s289_4V6__1	9827	8196	8147	8723,33	552,01	10018	10575	9304	9965,67	367,84	1,14	1,02	1,29
Pp1s289_52V6__1	397	241	405	347,67	53,38	381	259	223	287,67	47,81	-1,21	-0,83	-1,78
Pp1s289_54V6__1	7327	5487	6569	6461	533,9	5878	6340	6177	6131,67	135,28	-1,05	-0,91	-1,2
Pp1s289_57V6__1	52	80	61	64,33	8,25	178	105	313	198,67	60,93	3,09	1,5	4,97
Pp1s289_60V6__1	49	53	75	59	8,08	41	34	40	38,33	2,19	-1,54	-1,18	-1,93
Pp1s289_62V2__1	3948	4388	4098	4144,67	129,14	4002	3971	3806	3926,33	60,83	-1,06	-1	-1,12
Pp1s289_62V6__1	3330	3594	3118	3347,33	137,68	3104	3584	2614	3100,67	280,02	-1,08	-0,92	-1,28
Pp1s289_63V6__1	50	48	38	45,33	3,71	36	34	45	38,33	3,38	-1,18	-0,97	-1,45
Pp1s289_66V6__1	2000	1541	2030	1857	158,24	1998	1439	1566	1667,67	169,19	-1,11	-0,9	-1,39
Pp1s289_67V6__1	39	225	41	101,67	61,67	136	212	88	145,33	36,1	1,43	0,6	633,13
Pp1s289_68V6__1	5347	4217	4280	4614,67	366,62	2637	2558	2744	2646,33	53,9	-1,74	-1,51	-1,98
Pp1s289_6V6__1	73	102	123	99,33	14,5	176	63	58	99	38,53	-1	-0,57	-2,83
Pp1s289_7V6__1	1030	916	940	962	34,7	1080	1202	901	1061	87,41	1,1	0,94	1,27
Pp1s289_8V6__1	50	30	54	44,67	7,42	48	67	45	53,33	6,89	1,19	0,85	1,73
Pp1s28_101V6__1	2540	1759	3020	2439,67	367,46	2034	2090	1973	2032,33	33,79	-1,2	-0,9	-1,5
Pp1s28_102V6__1	6959	7794	7880	7544,33	293,72	6658	7413	7137	7069,33	220,56	-1,07	-0,98	-1,16
Pp1s28_103V6__1	4384	3498	4016	3966	256,99	3993	3995	4143	4043,67	49,67	1,02	0,92	1,14
Pp1s28_104V6__1	1579	1858	1441	1626	122,65	1785	1863	1859	1835,67	25,36	1,13	1	1,29
Pp1s28_105V6__1	42	47	111	66,67	22,21	56	48	51	51,67	2,33	-1,29	-0,58	-2,01
Pp1s28_109V6__1	4482	3465	6577	4841,33	916,15	4555	5191	4940	4895,33	184,95	1,01	0,76	1,47
Pp1s28_10V6__1	1393	1297	1504	1398	59,81	1253	1309	1478	1346,67	67,63	-1,04	-0,93	-1,16
Pp1s28_110V6__1	130	121	100	117	8,89	184	154	169	169	8,66	1,44	1,25	1,69
Pp1s28_111V6__1	378	395	660	477,67	91,3	827	611	695	711	62,86	1,49	1,08	2,22
Pp1s28_112V6__1	2190	2215	2104	2169,67	33,62	3648	4426	3866	3980	231,71	1,83	1,65	2,02
Pp1s28_115V6__1	3676	3284	3722	3560,67	138,97	3148	4204	3389	3580,33	319,5	1,01	0,85	1,17
Pp1s28_118V2__1	71	49	94	71,33	12,99	50	53	85	62,67	11,2	-1,14	-0,73	-1,76
Pp1s28_119V6__1	2118	2739	2585	2480,67	186,7	2598	2820	2636	2684,67	68,55	1,08	0,96	1,24
Pp1s28_120V6__1	15205	16038	17089	16110,67	545,08	20355	17456	17685	18498,67	930,52	1,15	1,04	1,27
Pp1s28_122V6__1	283	323	384	330	29,37	347	362	338	349	7	1,06	0,92	1,24
Pp1s28_124V6__1	5564	5011	5405	5326,67	164,37	5832	6008	5258	5699,33	226,44	1,07	0,98	1,16
Pp1s28_125V6__1	44	62	31	45,67	8,99	38	26	36	33,33	3,71	-1,37	-0,9	-1,94
Pp1s28_126V6__1	3441	3110	3142	3231	105,41	3233	3184	3488	3301,67	94,23	1,02	0,95	1,1
Pp1s28_127V6__1	16822	17551	15849	16740,67	493,01	14220	14441	15607	14756	430,26	-1,13	-1,06	-1,21
Pp1s28_129V6__1	2137	1868	2073	2026	81,13	2078	1662	1981	1907	125,66	-1,06	-0,94	-1,21
Pp1s28_12V6__1	7766	6962	7262	7330	234,57	7074	7036	7175	7095	41,48	-1,03	-0,98	-1,09
Pp1s28_131V6__1	25209	22930	23938	24025,67	659,35	22550	22214	20011	21591,67	796,26	-1,11	-1,03	-1,2
Pp1s28_133V6__1	101	120	378	199,67	89,34	168	143	185	165,33	12,2	-1,21	-0,32	-2,13
Pp1s28_136V6__1	3542	3206	3580	3442,67	118,84	3879	2997	3577	3484,33	258,79	1,01	0,88	1,15
Pp1s28_137V6__1	135	240	83	152,67	46,17	163	110	148	140,33	15,77	-1,09	-0,54	-1,72
Pp1s28_138V6__1	65	41	40	48,67	8,17	27	39	34	33,33	3,48	-1,46	-1,02	-1,99
Pp1s28_13V6__1	1136	2210	1898	1748	318,98	2158	2502	2097	2252,33	126,07	1,29	0,97	1,86
Pp1s28_141V6__1	64	102	32	66	20,23	41	52	41	44,67	3,67	-1,48	-0,73	-2,28
Pp1s28_142V6__1	47	38	72	52,33	10,17	37	59	48	48	6,35	-1,09	-0,71	-1,58
Pp1s28_144V6__1	79	81	67	75,67	4,37	173	103	139	138,33	20,21	1,83	1,37	2,32
Pp1s28_145V6__1	47	27	26	33,33	6,84	42	44	63	49,67	6,69	1,49	1,01	2,35
Pp1s28_146V6__1	4708	4982	4841	4843,67	79,11	5526	6050	5835	5803,67	152,07	1,2	1,14	1,26
Pp1s28_148V6__1	122	336	54	170,67	84,97	236	134	181	183,67	29,48	1,08	0,55	5,99
Pp1s28_14V6__1	91	36	65	64	15,89	56	30	44	43,33	7,51	-1,48	-0,83	-2,39
Pp1s28_151V6__1	3310	3318	3965	3531	217,01	3808	3195	3773	3592	198,76	1,02	0,89	1,17
