"Go_terms_and_categoria_BP.gene_id"	"Go_terms_and_categoria_BP.go_id"
"451"	"AT1G01620"	"GO:0006084"
"452"	"AT1G01620"	"GO:0006084"
"453"	"AT1G01620"	"GO:0006810"
"454"	"AT1G01620"	"GO:0006826"
"455"	"AT1G01620"	"GO:0006833"
"456"	"AT1G01620"	"GO:0006833"
"457"	"AT1G01620"	"GO:0009414"
"458"	"AT1G01620"	"GO:0009414"
"459"	"AT1G01620"	"GO:0009651"
"460"	"AT1G01620"	"GO:0009651"
"461"	"AT1G01620"	"GO:0010106"
"462"	"AT1G01620"	"GO:0010106"
"463"	"AT1G01620"	"GO:0016126"
"464"	"AT1G01620"	"GO:0016132"
"465"	"AT1G01630"	"GO:0006810"
"466"	"AT1G01630"	"GO:0019344"
"467"	"AT1G01630"	"GO:0019344"
"468"	"AT1G01640"	"GO:0009908"
"469"	"AT1G01640"	"GO:0009954"
"470"	"AT1G01640"	"GO:0010227"
"471"	"AT1G01640"	"GO:0048439"
"472"	"AT1G01650"	"GO:0006508"
"473"	"AT1G01690"	"GO:0009553"
"474"	"AT1G01690"	"GO:0009555"
"475"	"AT1G01690"	"GO:0042138"
"476"	"AT1G01690"	"GO:0042138"
"477"	"AT1G01690"	"GO:0042138"
"478"	"AT1G01690"	"GO:0051026"
"479"	"AT1G01690"	"GO:0051026"
"480"	"AT1G01690"	"GO:0051026"
"481"	"AT1G01690"	"GO:0051026"
"482"	"AT1G01695"	"GO:0008150"
"483"	"AT1G01710"	"GO:0006637"
"484"	"AT1G01710"	"GO:0006637"
"485"	"AT1G01720"	"GO:0007275"
"486"	"AT1G01720"	"GO:0009414"
"487"	"AT1G01720"	"GO:0009414"
"488"	"AT1G01720"	"GO:0009611"
"489"	"AT1G01720"	"GO:0009611"
"490"	"AT1G01720"	"GO:0009620"
"491"	"AT1G01720"	"GO:0009695"
"492"	"AT1G01720"	"GO:0009695"
"493"	"AT1G01720"	"GO:0009737"
"494"	"AT1G01720"	"GO:0009753"
"495"	"AT1G01720"	"GO:0009788"
"496"	"AT1G01720"	"GO:0009788"
"497"	"AT1G01720"	"GO:0010200"
"498"	"AT1G01720"	"GO:0042538"
"499"	"AT1G01720"	"GO:0042538"
"500"	"AT1G01725"	"GO:0008150"
"501"	"AT1G01725"	"GO:0045892"
"502"	"AT1G01725"	"GO:0045892"
"503"	"AT1G01725"	"GO:0045892"
"504"	"AT1G01730"	"GO:0008150"
"505"	"AT1G01750"	"GO:0010054"
"506"	"AT1G01750"	"GO:0010054"
"507"	"AT1G01760"	"GO:0006396"
"508"	"AT1G01760"	"GO:0006396"
"509"	"AT1G01770"	"GO:0008150"
"510"	"AT1G01780"	"GO:0051017"
"511"	"AT1G01780"	"GO:0051017"
"512"	"AT1G01800"	"GO:0000038"
"513"	"AT1G01800"	"GO:0000038"
"514"	"AT1G01800"	"GO:0009409"
"515"	"AT1G01800"	"GO:0009409"
"516"	"AT1G01800"	"GO:0042335"
"517"	"AT1G01810"	"GO:0008150"
"518"	"AT1G01820"	"GO:0007031"
"519"	"AT1G01820"	"GO:0007031"
"520"	"AT1G01820"	"GO:0009627"
"521"	"AT1G01820"	"GO:0009627"
"522"	"AT1G01820"	"GO:0016559"
"523"	"AT1G01820"	"GO:0016559"
"524"	"AT1G01820"	"GO:0016559"
"525"	"AT1G01820"	"GO:0016559"
"526"	"AT1G01820"	"GO:0016559"
"527"	"AT1G01820"	"GO:0016559"
"528"	"AT1G01820"	"GO:0016559"
"529"	"AT1G01820"	"GO:0016559"
"530"	"AT1G01820"	"GO:0031347"
"531"	"AT1G01840"	"GO:0008150"
"532"	"AT1G01860"	"GO:0009409"
"533"	"AT1G01860"	"GO:0009409"
"534"	"AT1G01880"	"GO:0006281"
"535"	"AT1G01880"	"GO:0006281"
"536"	"AT1G01880"	"GO:0006281"
"537"	"AT1G01880"	"GO:0006281"
"538"	"AT1G01900"	"GO:0006508"
"539"	"AT1G01910"	"GO:0006820"
"540"	"AT1G01910"	"GO:0006891"
"541"	"AT1G01910"	"GO:0043161"
"542"	"AT1G01910"	"GO:0043161"
"543"	"AT1G01910"	"GO:0043161"
"544"	"AT1G01910"	"GO:0043248"
"545"	"AT1G01910"	"GO:0051788"
"546"	"AT1G01920"	"GO:0008150"
"547"	"AT1G01920"	"GO:0009560"
"548"	"AT1G01920"	"GO:0009560"
"549"	"AT1G01930"	"GO:0008150"
"550"	"AT1G01930"	"GO:0009630"
"551"	"AT1G01940"	"GO:0006457"
"552"	"AT1G01940"	"GO:0006457"
"553"	"AT1G01940"	"GO:0006457"
"554"	"AT1G01950"	"GO:0048364"
"555"	"AT1G01960"	"GO:0009561"
"556"	"AT1G01960"	"GO:0016192"
"557"	"AT1G01960"	"GO:0050790"
"558"	"AT1G01970"	"GO:0008150"
"559"	"AT1G01990"	"GO:0008150"
"560"	"AT1G02000"	"GO:0009225"
"561"	"AT1G02000"	"GO:0009225"
